Code,GCD,PLD,LCD,PLD-a,PLD-b,PLD-c,LCD-a,LCD-b,LCD-c,Unitcell_volume,Density,AV_A^3,AV_Volume_fraction,AV_cm^3/g,NAV_A^3,NAV_Volume_fraction,NAV_cm^3/g,Number of channels,Min dimension of channel,Max dimension of channel,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,Minimum Z,Maximum Z,Range Z,Mean Z,Std_dev Z,Minimum van_der_waals_radius,Maximum van_der_waals_radius,Range van_der_waals_radius,Mean van_der_waals_radius,Std_dev van_der_waals_radius,Minimum mendeleev_no,Maximum mendeleev_no,Range mendeleev_no,Mean mendeleev_no,Std_dev mendeleev_no,Minimum molar_volume,Maximum molar_volume,Range molar_volume,Mean molar_volume,Std_dev molar_volume,Minimum thermal_conductivity,Maximum thermal_conductivity,Range thermal_conductivity,Mean thermal_conductivity,Std_dev thermal_conductivity,Minimum boiling_point,Maximum boiling_point,Range boiling_point,Mean boiling_point,Std_dev boiling_point,Minimum melting_point,Maximum melting_point,Range melting_point,Mean melting_point,Std_dev melting_point,Minimum liquid_Range,Maximum liquid_Range,Range liquid_range,Mean liquid_range,Std_dev liquid_range,Ring topology size-3,Ring topology size-4,Ring topology size-5,Ring topology size-6,Ring topology size-7,Ring topology size-8,Ring topology size-9,Ring topology size-10,Ring topology size-11,Ring topology size-12,Ring topology size-13,Ring topology size-14,Ring topology size-15,Ring topology size-16,Ring topology size-17,Ring topology size-18,Ring topology size-19,Ring topology size-20,Ring topology size-21,Ring topology size-22,Ring topology size-23,Ring topology size-24,Ring topology size-25,Ring topology size-26,Ring topology size-27,Ring topology size-28,Ring topology size-29,Ring topology size-30,Cluster
0,6.41318,4.90683,6.41318,3.554,4.90683,2.28473,6.41318,6.41318,6.41318,1294.42,1.38741,208.789,0.1613,0.116259,0,0,0,1,2,2,288.537,2229.09,1606.65,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0,0,0.086956522,0,0.304347826,0,0.043478261,0,0.217391304,0,0.043478261,0,0,0,0.304347826,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5.42898,4.25567,5.40604,4.22921,2.95099,4.25567,4.79757,5.42898,5.40604,1101.13,1.44974,173.538,0.1576,0.108709,0,0,0,1,3,3,257.058,2334.49,1610.29,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.363636364,0.121212121,0.060606061,0,0.242424242,0,0.212121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5.70142,3.38536,5.70142,3.38536,3.03864,3.03864,5.70142,5.70142,5.70142,1014.39,1.77042,47.1691,0.0465,0.026265,0,0,0,1,2,2,147.679,1455.84,822.313,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.236842105,0.105263158,0.157894737,0.078947368,0.157894737,0.052631579,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,5.20703,4.47918,5.20703,4.47918,2.03513,1.68011,5.20703,5.18903,5.20703,949.863,1.6671,53.9522,0.0568,0.0340712,1.70975,0.0018,0.00107972,1,1,1,106.929,1125.73,675.26,13.2143,139.117,83.4488,8,14,6,9.951388889,4.20824639,1.52,2.1,0.58,1.7075,0.405454022,80,101,21,95.74305556,11.34877437,10,17.36,7.36,15.61583333,3.768364181,0.02658,235,234.97342,49.56651569,107.3050521,90.2,3173,3082.8,1093.745833,2163.763935,54.8,1687,1632.2,582.2990972,1140.895124,35.4,1858.53,1823.13,511.4467361,1027.203978,0.107142857,0.107142857,0.142857143,0.25,0.142857143,0.107142857,0.035714286,0,0.071428571,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4,7.75515,6.33188,7.68727,6.33188,4.0869,1.64585,7.68727,7.75515,7.53428,1972.73,1.61842,326.29,0.1654,0.102199,0.394546,0.0002,0.000123578,1,2,2,316.346,1603.6,990.843,4.17082,21.1424,13.0636,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.106382979,0.127659574,0.212765957,0.319148936,0.085106383,0.085106383,0.063829787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5,4.8343,2.76275,4.8343,2.76275,2.21274,2.21274,4.8343,4.83084,4.75006,633.344,1.57532,0,0,0,37.6206,0.0594,0.0377067,0,0,0,0,0,0,98.059,1548.27,982.832,8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,1823.13,560.3255556,1066.199553,0,0.285714286,0,0.142857143,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,7.31584,4.72208,7.01515,4.72208,3.00354,1.68083,7.01515,7.30166,6.88058,821.742,1.44806,133.369,0.1623,0.112081,0,0,0,1,2,2,161.388,1963.97,1356.28,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.052631579,0.368421053,0.052631579,0.315789474,0.052631579,0.157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,8.09397,6.03856,8.09397,6.03856,2.82976,2.68422,8.09397,7.7299,8.09397,1523.29,1.56351,271.603,0.1783,0.114038,0,0,0,1,2,2,275.559,1808.97,1156.99,0,0,0,8,14,6,9.986111111,4.175256394,1.52,2.1,0.58,1.709722222,0.400985807,80,101,21,95.59722222,11.38059192,10,17.36,7.36,15.56472222,3.787386883,0.02658,235,234.97342,51.19827556,108.4662373,90.2,3173,3082.8,1112.508333,2148.305762,54.8,1687,1632.2,588.4009722,1128.218202,35.4,1858.53,1823.13,524.1073611,1028.491109,0.025641026,0.230769231,0.384615385,0.076923077,0.051282051,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,9.15662,5.91821,9.10743,5.91821,1.94556,3.29768,9.10743,9.15662,8.83965,3454.05,1.36495,732.949,0.2122,0.155464,0,0,0,1,2,2,625.903,1812.08,1327.58,2.34656,6.79365,4.97722,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.056338028,0.183098592,0.267605634,0.197183099,0.14084507,0.028169014,0.070422535,0.056338028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,5.54067,4.11797,5.4436,4.11797,2.46814,3.51781,5.4436,5.54067,5.54067,722.983,1.36986,102.591,0.1419,0.103587,0,0,0,1,2,2,179.116,2477.45,1808.54,0,0,0,4,14,10,9.833333333,4.050822323,1.52,2.1,0.58,1.694222222,0.37475444,73,101,28,95.27777778,11.95493825,4.85,17.36,12.51,15.46611111,4.065845294,0.02658,235,234.97342,53.40660889,111.438691,90.2,3173,3082.8,1080.2,2047.193364,54.8,1687,1632.2,563.849,1064.121134,35.4,1858.53,1823.13,516.351,1003.536792,0,0.24137931,0,0.172413793,0,0.068965517,0,0.137931034,0,0.379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
