Framework,Minimum Z,Maximum Z,Range Z,Mean Z,Std_dev Z,Minimum van_der_waals_radius,Maximum van_der_waals_radius,Range van_der_waals_radius,Mean van_der_waals_radius,Std_dev van_der_waals_radius,Minimum mendeleev_no,Maximum mendeleev_no,Range mendeleev_no,Mean mendeleev_no,Std_dev mendeleev_no,Minimum molar_volume,Maximum molar_volume,Range molar_volume,Mean molar_volume,Std_dev molar_volume,Minimum thermal_conductivity,Maximum thermal_conductivity,Range thermal_conductivity,Mean thermal_conductivity,Std_+Z:AGv thermal_conductivity,Minimum boiling_point,Maximum boiling_point,Range boiling_point,Mean boiling_point,Std_dev boiling_point,Minimum melting_point,Maximum melting_point,Range melting_point,Mean melting_point,Std_dev melting_point,Minimum liquid_Range,Maximum liquid_Range,LCD,PLD,GCD,PLD-a,PLD-b,PLD-c,LCD-a,LCD-b,LCD-c,Number of channels,Max dimension of channel,Min dimension of channel,Unitcell_volume,Density,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,AV_A^3,AV_Volume_fraction,AV_cm^3/g,NAV_A^3,NAV_Volume_fraction,NAV_cm^3/g,Ring topology size-3,Ring topology size-4,Ring topology size-5,Ring topology size-6,Ring topology size-7,Ring topology size-8,Ring topology size-9,Ring topology size-10,Ring topology size-11,Ring topology size-12,Ring topology size-13,Ring topology size-14,Ring topology size-15,Ring topology size-16,Ring topology size-17,Ring topology size-18,Ring topology size-19,Ring topology size-20,Ring topology size-21,Ring topology size-22,Ring topology size-23,Ring topology size-24,Ring topology size-25,Ring topology size-26,Ring topology size-27,Ring topology size-28,Ring topology size-29,Ring topology size-30,Cluster
EDI,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95.0,12.19265001,10.0,17.36,7.36,15.31866667,4.17427667,0.02658,235.0,234.97342,61.35105333,127.5581437,90.2,3173.0,3082.8,1067.0,1963.904425,54.8,1687.0,1632.2,498.396,939.0837544,35.4,1858.53,4.87492,2.95924,4.87492,2.95924,2.95924,2.24772,4.87492,4.87492,4.8539,1,2,2,602.078,1.64495,107.513,1785.69,1085.56,0.0,0.0,0.0,28.4181,0.0472,0.028694,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
EDI,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10.0,17.36,7.36,15.25,4.302983461,0.02658,235.0,234.97342,64.18438667,132.9250288,90.2,3173.0,3082.8,1054.3,1934.463424,54.8,1687.0,1632.2,473.2783333,891.7012048,35.4,1858.53,5.4053,3.49859,5.4053,3.49859,2.83023,3.02006,5.4053,5.4053,5.4053,1,3,3,2576.34,1.53481,557.438,2163.68,1409.73,0.0,0.0,0.0,223.627,0.0868,0.0565541,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
BCT,8,15,7,9.4,4.949747468,1.52,1.8,0.28,1.576,0.197989899,90,101,11,98.8,7.778174593,17.02,17.36,0.34,17.292,0.240416306,0.02658,0.236,0.20942,0.068464,0.148082302,90.2,550.0,459.8,182.16,325.127698,54.8,317.3,262.5,107.3,185.6155301,35.4,232.7,2.89396,2.74142,2.89396,2.74142,2.3043,2.35268,2.89396,2.89194,2.89194,0,0,0,416.466,1.51466,0.0,0.0,0.0,4.33701,104.138,68.7535,0.0,0.0,0.0,0.166586,0.0004,0.000264085,0.0,0.333333333,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,7
HEU,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,5.84382,3.69418,5.26783,3.00095,1.40488,3.69418,5.84382,5.66257,5.26783,2,2,2,2093.09,1.71602,393.847,1881.66,1096.52,0.0,0.0,0.0,192.983,0.0922,0.0537289,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
STI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.17589,4.88324,6.17589,4.88324,1.77131,2.89643,6.17589,6.17589,6.17589,2,2,2,4426.45,1.62288,818.969,1850.17,1140.06,0.0,0.0,0.0,529.403,0.1196,0.0736963,0.0,0.0,0.0,0.0,0.285714286,0.142857143,0.142857143,0.0,0.285714286,0.0,0.142857143,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
FAU,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,10.78586,6.98649,10.78586,6.98649,6.98649,6.98648,10.78586,10.78586,10.78586,1,3,3,13816.6,1.38646,2210.9,1600.18,1154.14,312.258,226.003,163.006,3572.97,0.2586,0.186518,147.837,0.0107,0.00771747,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,3
MAZ,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,8.07951,7.37882,8.07951,3.08861,3.08861,7.37882,5.88606,6.05487,8.07951,2,3,1,2239.87,1.60357,383.74,1713.23,1068.38,0.0,0.0,0.0,265.425,0.1185,0.0738977,0.0,0.0,0.0,0.0,0.285714286,0.142857143,0.142857143,0.0,0.285714286,0.0,0.0,0.0,0.142857143,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
LAU,8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10.0,17.36,7.36,15.36444444,4.094462114,0.02658,235.0,234.97342,59.46216444,124.059398,90.2,3173.0,3082.8,1075.466667,1988.294065,54.8,1687.0,1632.2,515.1411111,971.2994236,35.4,1858.53,6.06375,3.9832,6.06375,3.9832,2.15056,2.15056,6.06375,6.06375,6.06375,2,1,1,1361.74,1.74766,185.667,1363.45,780.161,0.0,0.0,0.0,111.527,0.0819,0.0468627,0.0,0.0,0.0,0.0,0.333333333,0.0,0.555555556,0.0,0.0,0.0,0.111111111,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
MFI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.89763,5.30317,6.69681,5.17407,5.30317,5.17407,6.69681,6.69681,6.89763,1,3,3,5301.33,1.80674,795.062,1499.74,830.084,0.0,0.0,0.0,584.736,0.1103,0.0610493,0.0,0.0,0.0,0.0,0.03846153,0.423,0.308,0.0,0.0,0.0,0.23076,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
MFI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.01366,4.63234,6.01366,4.63234,3.82354,3.82354,6.01366,5.81477,5.87284,1,3,3,5000.0,1.91562,707.429,1414.86,738.591,0.0,0.0,0.0,401.0,0.0802,0.0418664,0.0,0.0,0.0,0.0,0.03846153,0.423,0.308,0.0,0.0,0.0,0.23076,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
MFI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.57725,4.89139,6.57725,4.89139,4.45822,4.45822,6.57725,6.52477,6.57725,1,3,3,5298.71,1.80763,782.639,1477.04,817.113,0.0,0.0,0.0,528.811,0.0998,0.0552104,0.0,0.0,0.0,0.0,0.03846153,0.423,0.308,0.0,0.0,0.0,0.23076,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
MFI,8,14,6,10.0,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150.0,149.97342,50.01772,106.0472223,90.2,3173.0,3082.8,1117.8,2179.868785,54.8,1687.0,1632.2,598.8666667,1154.139688,35.4,1486.0,6.78391,4.97979,6.78391,4.97979,4.84888,4.84888,6.78391,6.78391,6.78391,1,3,3,5450.0,1.75745,824.83,1513.45,861.163,0.0,0.0,0.0,613.67,0.1126,0.0640702,0.0,0.0,0.0,0.0,0.03846153,0.423,0.308,0.0,0.0,0.0,0.23076,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2
NAT,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95.0,12.19265001,10.0,17.36,7.36,15.31866667,4.17427667,0.02658,235.0,234.97342,61.35105333,127.5581437,90.2,3173.0,3082.8,1067.0,1963.904425,54.8,1687.0,1632.2,498.396,939.0837544,35.4,1858.53,3.63474,2.86504,3.63474,2.86504,2.55755,2.86504,3.63474,3.63474,3.63474,2,2,2,1141.6,1.73508,133.836,1172.35,675.675,0.0,0.0,0.0,11.416,0.01,0.00576341,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
